"sub","session","n","modality","prt","dprime","accuracy","sex","group"
"sub-16",3,2,"audio",1.17519,3.56809951685558,89.225,"Female","Experimental"
"sub-16",4,1,"audio",1.08439333333333,3.56809951685558,89.225,"Female","Experimental"
"sub-16",4,2,"audio",1.00357,3.11546620136051,87.225,"Female","Experimental"
"sub-18",1,1,"audio",0.753116666666667,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-18",1,2,"audio",1.34619666666667,1.93391364511085,85.1583333333333,"Male","Experimental"
"sub-18",2,1,"audio",0.589226666666667,4.41459318549596,89.25,"Male","Experimental"
"sub-18",2,2,"audio",0.607703333333333,4.41459318549596,89.25,"Male","Experimental"
"sub-18",3,1,"audio",0.787623333333333,4.1204625871269,89.2416666666667,"Male","Experimental"
"sub-18",3,2,"audio",0.696083333333333,3.78763389735501,89.2333333333333,"Male","Experimental"
"sub-18",4,1,"audio",0.82457,4.41459318549596,89.25,"Male","Experimental"
"sub-18",4,2,"audio",0.71333,4.37309944946723,90.2416666666667,"Male","Experimental"
"sub-19",1,1,"audio",1.40251666666667,2.4292014577339,86.1916666666667,"Female","Experimental"
"sub-19",1,2,"audio",1.48636666666667,1.78493990075939,86.1333333333333,"Female","Experimental"
"sub-19",2,1,"audio",0.955566666666667,3.33500058185994,84.2416666666667,"Female","Experimental"
"sub-19",2,2,"audio",1.29208,2.8514960057683,88.2,"Female","Experimental"
"sub-19",3,1,"audio",1.30512,1.76087389635876,83.1583333333333,"Female","Experimental"
"sub-19",3,2,"audio",1.48043,2.26322187533119,88.15,"Female","Experimental"
"sub-19",4,1,"audio",1.10146666666667,3.12064638883217,88.2166666666667,"Female","Experimental"
"sub-19",4,2,"audio",1.33417,2.32421389006235,86.1833333333333,"Female","Experimental"
"sub-20",1,1,"audio",1.22361666666667,2.56182792669756,87.1916666666667,"Male","Control"
"sub-20",1,2,"audio",1.50203666666667,1.58807307405907,83.1416666666667,"Male","Control"
"sub-20",2,1,"audio",1.11628666666667,3.20237411289628,86.2333333333333,"Male","Control"
"sub-20",2,2,"audio",1.57795,1.33652733536384,83.1166666666667,"Male","Control"
"sub-20",3,1,"audio",0.99131,3.8437894080113,88.2416666666667,"Male","Control"
"sub-20",3,2,"audio",1.52087333333333,1.60097598071069,82.15,"Male","Control"
"sub-20",4,1,"audio",1.07044,4.1204625871269,89.2416666666667,"Male","Control"
"sub-20",4,2,"audio",1.64243666666667,1.50108594604402,84.125,"Male","Control"
"sub-21",1,1,"audio",1.24261333333333,4.41459318549596,89.25,"Male","Experimental"
"sub-21",1,2,"audio",1.64098666666667,2.22899923692567,84.1916666666667,"Male","Experimental"
"sub-21",2,1,"audio",1.47634,3.25396951741268,89.2083333333333,"Male","Experimental"
"sub-21",2,2,"audio",1.52768,3.29142633773999,88.225,"Male","Experimental"
"sub-21",3,1,"audio",1.1271,3.78763389735501,89.2333333333333,"Male","Experimental"
"sub-21",3,2,"audio",1.33193,3.25396951741268,89.2083333333333,"Male","Experimental"
"sub-21",4,1,"audio",1.22515666666667,3.51096071823941,88.2333333333333,"Male","Experimental"
"sub-21",4,2,"audio",1.04114,3.51096071823941,88.2333333333333,"Male","Experimental"
"sub-23",1,1,"audio",1.02689,3.53520280266817,86.2416666666667,"Male","Experimental"
"sub-23",1,2,"audio",1.2074,3.00217189208805,84.2333333333333,"Male","Experimental"
"sub-23",2,1,"audio",0.830793333333333,4.6672300478363,90.25,"Male","Experimental"
