sub,session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LB018,18,1,2,3,4,4,3,2,3,3,3,3,3,4,3,2,3,4,3,3,3
LB019,1,1,1,2,3,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2
LB019,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1
LB019,3,1,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
LB019,4,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2
LB019,5,1,2,1,2,2,1,2,3,2,1,1,2,1,1,1,2,1,2,2,2
LB019,6,1,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,1,1,1,2
LB019,7,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2
LB019,8,1,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2
LB019,9,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,3,2,2,2,1
LB019,10,1,2,2,3,2,3,2,3,2,3,3,2,2,2,2,1,1,1,1,2
LB019,11,1,2,3,2,2,3,3,2,2,3,2,2,2,2,3,2,2,3,2,3
LB019,12,1,1,1,2,3,3,2,2,3,2,2,2,2,1,1,1,1,1,1,1
LB019,13,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2
LB019,14,1,2,2,2,2,2,3,2,2,1,2,2,3,2,2,1,1,2,2,3
LB019,15,1,2,2,3,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2
LB019,16,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,3
LB019,17,1,2,2,3,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2
LB019,18,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1
LB021,1,1,1,2,2,2,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3
LB021,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,3,2,3,2
LB021,3,1,2,3,3,2,1,1,2,3,2,3,2,3,2,2,1,2,2,3,3
LB021,4,1,2,3,3,3,2,3,2,1,2,3,3,3,2,3,2,3,2,2,3
LB021,5,1,2,3,2,3,2,2,3,3,2,2,2,3,2,2,3,2,3,2,3
LB021,6,1,2,2,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2,3,3
LB021,7,1,2,2,3,3,4,4,3,2,1,2,3,2,2,3,3,3,3,3,2
LB021,8,1,2,3,2,3,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3
LB021,9,1,2,3,2,3,2,2,3,3,2,3,2,2,3,3,3,3,4,4,3
LB021,10,1,2,3,3,4,3,3,3,3,2,2,3,2,3,2,3,3,3,3,2
LB021,11,1,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,2
LB021,12,1,2,3,2,3,3,2,3,3,3,3,2,2,3,3,3,2,3,3,4
LB021,13,1,2,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3
LB021,14,1,2,3,3,3,2,2,3,4,3,3,3,3,3,3,3,2,3,4,3
LB021,15,1,2,3,3,3,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4
